image,labels_annotator1,labels_annotator2
csv_10RGn0cWAS8GFV0dlIwylPDcbmJNfLAig,['Smears'],"['Appeal to (Strong) Emotions', 'Flag-waving', 'Smears', 'Transfer']"
csv_10nuP18xGKwhwzie8LQg1jJvQ7sEyBUNk,['Whataboutism'],"['Appeal to (Strong) Emotions', 'Appeal to fear/prejudice', 'Exaggeration/Minimisation', 'Loaded Language', 'Name calling/Labeling', 'Smears', 'Transfer']"
csv_11FXDzESQrZpC5yqpUrKbsipXldf1owRH,"['Causal Oversimplification', 'Smears']","['Appeal to (Strong) Emotions', 'Exaggeration/Minimisation', 'Flag-waving']"
csv_12eKY_11DKhS3OJkRBe3Ik-w6IF0XoKHP,"['Doubt', 'Smears']","['Appeal to (Strong) Emotions', 'Doubt', 'Smears']"
csv_12vuewEZ3Dv50-FjDlCv4RFJpRr-EhPNZ,"['Appeal to fear/prejudice', 'Exaggeration/Minimisation', 'Smears']","['Appeal to fear/prejudice', 'Exaggeration/Minimisation', 'Flag-waving', 'Name calling/Labeling', 'Smears']"
csv_15Xl8UwDt1ZSFTNyzlZN6fMHpXEpYHQCk,"['Causal Oversimplification', 'Exaggeration/Minimisation']","['Appeal to (Strong) Emotions', 'Causal Oversimplification', 'Loaded Language']"
csv_15Z8Rt1Ota8wub2hqnuiUIItFFPqsrPH5,"['Exaggeration/Minimisation', 'Smears']","['Name calling/Labeling', 'Smears', 'Transfer']"
csv_16iNP31Z76-aUG4_3v2dVQXT6-vl5WvrT,['No Propaganda'],"['Appeal to (Strong) Emotions', 'Exaggeration/Minimisation', 'Flag-waving', 'Loaded Language', 'Name calling/Labeling']"
csv_17b2FLR8lRzXZV1EltJ_trlu_4oY3K9Ix,"['Appeal to fear/prejudice', 'Causal Oversimplification', 'Loaded Language', 'Name calling/Labeling']","['Appeal to (Strong) Emotions', 'Appeal to fear/prejudice', 'Name calling/Labeling', 'Smears']"
csv_17nYn-o-TfP0HMVFYfiNE-VJxOWFH-QGE,"['Appeal to (Strong) Emotions', 'Loaded Language', 'Transfer']","['Appeal to (Strong) Emotions', 'Exaggeration/Minimisation', 'Flag-waving', 'Loaded Language']"
csv_17voh_B-0ayn2K7k-KbPZrGaFQG16qcyD,"['Appeal to fear/prejudice', 'Exaggeration/Minimisation', 'Smears', 'Transfer']","['Exaggeration/Minimisation', 'Flag-waving', 'Smears']"
csv_187mz_-6PYDq6npL3VY9WfQTUzQ9TvlNW,"['Appeal to fear/prejudice', 'Exaggeration/Minimisation', 'Slogans']","['Flag-waving', 'Glittering generalities (Virtue)', 'Smears']"
csv_18prs6s39jUFeFR3GkzP3oL3Z1TAloAhZ,"['Repetition', 'Smears', 'Transfer']",['Loaded Language']
csv_18qlkKB9RLb7J0U35PGDKl1kXQC6gOXr0,['No Propaganda'],"['Appeal to (Strong) Emotions', 'Flag-waving']"
csv_19K52HV_zp2kq13WfLeMBNkm3428uyUwY,['Appeal to (Strong) Emotions'],"['Appeal to (Strong) Emotions', 'Exaggeration/Minimisation', 'Loaded Language']"
